socket名称,类型/状态,关联服务或进程,权限,对应的gitee源码仓库,定位源码证据片段
/dev/unix/socket/faultloggerd.sdkdump.server,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,faultloggerd,0666（属主 faultloggerd，属组 system）,https://gitee.com/openharmony/hiviewdfx_faultloggerd,services/config/faultloggerd.cfg:54-68：服务 faultloggerd 配置 faultloggerd.sdkdump.server、AF_UNIX、SOCK_STREAM、0666、faultloggerd:system；interfaces/common/dfx_socket_request.h:33-35：声明 faultloggerd socket 常量。
/dev/unix/socket/hilogInput,AF_UNIX SOCK_DGRAM / BOUND（开发板快照）,hilogd,0222（属主 logd，属组 log）,https://gitee.com/openharmony/hiviewdfx_hilog,services/hilogd/etc/hilogd.cfg:25-35：hilogInput 配置 AF_UNIX、SOCK_DGRAM、0222、logd:log；frameworks/libhilog/include/hilog_base.h:23：声明输入 socket 名称。
/dev/unix/socket/hilogOutput,AF_UNIX SOCK_SEQPACKET / LISTENING（开发板快照）,hilogd,0666（属主 logd，属组 log）,https://gitee.com/openharmony/hiviewdfx_hilog,services/hilogd/etc/hilogd.cfg:36-46：hilogOutput 配置 AF_UNIX、SOCK_SEQPACKET、0666、logd:log；frameworks/libhilog/include/hilog_common.h:27-28：声明输出 socket 名称。
/dev/unix/socket/hilogControl,AF_UNIX SOCK_SEQPACKET / LISTENING（开发板快照）,hilogd,0660（属主 logd，属组 log）,https://gitee.com/openharmony/hiviewdfx_hilog,services/hilogd/etc/hilogd.cfg:47-57：hilogControl 配置 AF_UNIX、SOCK_SEQPACKET、0660、logd:log；frameworks/libhilog/include/hilog_common.h:27-28：声明控制 socket 名称。
/dev/unix/socket/hisysevent,AF_UNIX SOCK_DGRAM / BOUND（开发板快照）,hiview,0662（属主 hiview，属组 system）,https://gitee.com/openharmony/hiviewdfx_hiview,service/config/hiview.cfg:113-124：hisysevent 配置 AF_UNIX、SOCK_DGRAM、0662、hiview:system；同一配置由 hiview 服务加载。
/dev/unix/socket/hisysevent_fast,AF_UNIX SOCK_DGRAM / BOUND（开发板快照）,hiview,0662（属主 hiview，属组 system）,https://gitee.com/openharmony/hiviewdfx_hiview,service/config/hiview.cfg:127-131：hisysevent_fast 配置 AF_UNIX、SOCK_DGRAM、0662、hiview:system；同一配置由 hiview 服务加载。
/dev/unix/socket/native,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,audio_server,0660（属主 audio，属组 system）,https://gitee.com/openharmony/multimedia_audio_framework,services/audio_service/etc/audio_server.cfg:62-67：audio_server 服务配置；:111-123：native 配置 AF_UNIX、SOCK_STREAM、0660、audio:system。
/dev/unix/socket/fusioncall,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,telephony（telephony_core_service）,0660（属主 radio，属组 radio）,https://gitee.com/openharmony/telephony_core_service,services/etc/init/telephony.cfg:13-25：fusioncall 配置 AF_LOCAL、SOCK_STREAM、0660、radio:radio，并由 telephony 服务注册。
/dev/unix/socket/dnsproxyd,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,netsysnative,0660（属主 netsysnative，属组 netsys_socket）,https://gitee.com/openharmony/communication_netmanager_base,services/etc/init/netsysnative.cfg:22-31：dnsproxyd 配置 AF_UNIX、SOCK_STREAM、0660、netsysnative:netsys_socket；services/netmanagernative/include/netsys/dns_config_client.h:32-33：声明 DNS socket 路径/名称。
/dev/unix/socket/multivpnfd,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,netsysnative,0660（属主 netsysnative，属组 netsys_socket）,https://gitee.com/openharmony/communication_netmanager_base,"services/etc/init/netsysnative.cfg:52-61：multivpnfd 配置 AF_UNIX、SOCK_STREAM、0660、netsysnative:netsys_socket；services/netmanagernative/src/manager/multi_vpn_manager.cpp:495：调用 GetControlSocket(""multivpnfd"")。"
/dev/unix/socket/tunfd,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,netsysnative,0660（属主 netsysnative，属组 netsys_socket）,https://gitee.com/openharmony/communication_netmanager_base,"services/etc/init/netsysnative.cfg:42-51：tunfd 配置 AF_UNIX、SOCK_STREAM、0660、netsysnative:netsys_socket；services/netmanagernative/src/manager/vpn_manager.cpp:311：调用 GetControlSocket(""tunfd"")。"
/dev/unix/socket/fwmarkd,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,netsysnative,0660（属主 netsysnative，属组 netsys_socket）,https://gitee.com/openharmony/communication_netmanager_base,services/etc/init/netsysnative.cfg:32-41：fwmarkd 配置 AF_UNIX、SOCK_STREAM、0660、netsysnative:netsys_socket；interfaces/innerkits/netmanagernative/include/fwmark.h:43：FWMARK_SERVER_PATH 为 /dev/unix/socket/fwmarkd；services/netmanagernative/src/netsys/fwmark_network.cpp:180-182：获取并监听 fwmarkd。
/dev/unix/socket/hdcd,AF_UNIX SOCK_SEQPACKET / LISTENING（开发板快照）,hdcd（HDC 守护进程）,0660（属主 shell，属组 shell）,https://gitee.com/openharmony/developtools_hdc,src/daemon/etc/hdcd.cfg:74-87：hdcd 服务配置 socket 名 hdcd、AF_UNIX、SOCK_SEQPACKET、0660、shell:shell。
/dev/unix/socket/hiprofiler_unix_socket,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,hiprofilerd,0600（属主 hiprofiler，属组 shell）,https://gitee.com/openharmony/developtools_profiler（revision: 19ee2d0950c35b6e5b87b4177540a97639bd1a7e）,device/etc/hiprofilerd.cfg:2-18：hiprofilerd 配置 hiprofiler_unix_socket、AF_UNIX、SOCK_STREAM、0600、hiprofiler:shell；device/services/ipc/include/socket_context.h：定义默认 Unix socket 完整路径。
